epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.703640440635681,0.51562,1.5111505989074707,0.6421,5.405267241876572
2,1.3678002244186402,0.72274,1.4096648942947387,0.7146,5.036564718931913
3,1.244655404586792,0.7947,1.303817559814453,0.7572,4.94936397485435
4,1.166658533973694,0.83728,1.2781711929321289,0.7785,5.101449913810939
5,1.1001889807891845,0.87586,1.2454873668670654,0.7975,5.304257036186755
6,1.0523080489349366,0.90232,1.272704582977295,0.7924,5.339718168601394
7,1.0082676196098328,0.92762,1.2347697494506835,0.8094,5.239416227210313
8,0.9780795656585693,0.94272,1.220626181602478,0.8257,5.4987682667560875
9,0.9537709901809692,0.95642,1.2430121849060058,0.8147,5.238162543158978
10,0.9375125650978089,0.96474,1.224971590423584,0.8256,5.268115091137588
11,0.9257666916465759,0.9711,1.244059923171997,0.8235,5.275764428079128
12,0.9171846153259278,0.9753,1.2434409566879272,0.8236,5.26612880313769
13,0.9126139855194092,0.9776,1.2293283170700073,0.8325,5.354243127629161
14,0.9054402625465393,0.98124,1.2353708995819093,0.832,5.334367616102099
15,0.9074855025482178,0.97984,1.2474594394683838,0.8271,5.237129547167569
16,0.9009795693969727,0.98314,1.2350928981781006,0.8312,5.21910117380321
17,0.8982397518348694,0.98544,1.2231927522659303,0.8394,5.146330892108381
18,0.8986156344985962,0.98446,1.2348779487609862,0.8313,5.143637074157596
19,0.8968290848541259,0.9854,1.2205268871307373,0.8432,4.896210092119873
20,0.8922965884590149,0.98786,1.246242540359497,0.8288,5.0559151521883905
